4186	T	CAÑETE 
4187	T	ANTA CHICA 
4195	T	7 DE ABRIL 
4230	K	BREA CHIMPANA 
4231	K	ALBIGASTA 
4234	K	ACHALCO 
4235	K	ALBIGASTA 
4237	K	CORTADERAS 
4242	T	25 DE MAYO 
4411	Y	SEY 
4413	Y	CATUA 
4431	Y	AGUAS CALIENTES 
4434	T	ANTA 
4500	Y	ALTO DEL SALADILLO 
4501	Y	ABRA DEL TRIGO 
4503	Y	ARRAYANAL 
4504	Y	23 DE AGOSTO 
4506	Y	ALEGRIA 
4512	Y	AGUA NEGRA 
4513	Y	ALTO CALILEGUA 
4514	Y	CALILEGUA 
4516	Y	CAIMANCITO 
4518	Y	AGUAS CALIENTES 
4522	Y	ALTO DEL SALADILLO 
4542	Y	EL PALMAR DE SAN FRANCISCO 
4561	Y	LA CHINACA 
4600	Y	ALGARROBAL 
4601	Y	CORRAL DE PIEDRAS 
4603	Y	CATAMONTAÑA 
4605	Y	ALISOS  DE ABAJO 
4606	Y	COLONIA LOS LAPACHOS 
4608	Y	ALTO VERDE 
4612	Y	CARAHUNCO 
4616	Y	BARCENA 
4618	Y	ABRA DE PIVES 
4622	Y	BELLA VISTA 
4624	Y	ABRA MAYO 
4626	Y	ANGOSTO DEL PERCHEL 
4630	Y	APARZO 
4631	Y	ANTIGUO 
4632	Y	ANTUMPA 
4633	Y	SAN PEDRO DE IRUYA 
4634	Y	ABRALAITE 
4640	Y	ABRA PAMPA 
4641	Y	ABDON CASTRO TOLAY 
4643	Y	ANTIGUYOS 
4644	Y	CANGREJILLOS 
4648	Y	BARRIO LA UNION 
4650	Y	ABRA DE PEÑAS 
4651	Y	AGUA DE CASTILLA 
4653	Y	CASIRA 
4655	Y	CABRERIA 
4700	K	BANDA VARELA 
4701	K	ACOSTILLA 
4705	K	AGUADITA 
4707	K	CHAÑARCITO 
4709	K	SAN JOSE DE PIEDRA BLANCA 
4711	K	AMBATO 
4713	K	OCHO VADOS 
4715	K	AGUA VERDE 
4716	K	AMADORES 
4718	K	BARRO NEGRO 
4719	K	BALCOSNA 
4722	K	EL DURAZNILLO 
4723	K	ALIJILAN 
4724	K	AGUA COLORADA 
4726	K	CAPAYAN 
4728	K	CHUMBICHA 
4740	K	AGUA SALADA 
4741	K	AGUA DE LAS PALOMAS 
4743	K	ACONQUIJA 
4750	K	AGUA COLORADA 
4751	K	AGUA DE DIONISIO 
4753	K	CORRALITO 
5260	K	ACHERAL 
5261	K	AGUA DEL SIMBOL 
5263	F	EL MEDANO 
5264	K	ANGELINA 
5265	K	AGUA LOS MATOS 
5266	K	CHICHAGASTA 
5272	F	COMANDANTE LEAL 
5274	F	ALTILLO DEL MEDIO 
5275	F	AGUA COLORADA 
5276	F	BALDES DE PACHECO 
5300	F	AMILGANCHO 
5301	F	AGUA BLANCA 
5303	F	ANJULLON 
5304	F	EL TALA 
5306	F	CARRIZAL 
5310	F	AIMOGASTA 
5311	F	ARAUCO 
5313	F	ESTACION MAZAN 
5315	K	CALERA LA NORMA 
5317	K	APOYACO 
5319	K	COLPES 
5321	K	EL POTRERO 
5325	F	ALPASINCHE 
5327	F	CAPIHUAS 
5329	F	AMUSCHINA 
5331	K	ANDALUCIA 
5333	K	BANDA DE LUCERO 
5340	K	AGUA GRANDE 
5341	K	ANILLACO 
5343	K	LAVALLE 
5345	K	BAÑOS TERMALES 
5350	F	EL MOLLE 
5351	F	BANDA FLORIDA 
5353	F	EL ZAPALLAR 
5355	F	EL ALTILLO 
5357	F	EL HORNO 
5359	F	ALTO JAGUEL 
5360	F	CHILECITO 
5361	F	AICUÑA 
5363	F	ANGUINAN 
5365	F	EL JUMEAL 
5367	F	CACHIYUYAL 
5369	F	PAGANCILLO 
5372	F	NONOGASTA 
5374	F	CATINZACO 
5380	F	CHAMICAL 
5381	F	BELLA VISTA 
5383	F	AGUA COLORADA 
5384	F	PUNTA DE LOS LLANOS 
5385	F	AGUADITA 
5386	F	AMANA 
5400	J	DESAMPARADOS 
5401	J	BARRIO EL TONTAL 
5403	J	BARRIALITOS 
